Price Region,Market Comp,Live,Change,Regional Signal,14-Aug,7-Aug,31-Jul,24-Jul,17-Jul,10-Jul,3-Jul,26-Jun,19-Jun,12-Jun,5-Jun,29-May,22-May,15-May,8-May,1-May,24-Apr,17-Apr,10-Apr,2-Apr,1-Apr,Win25-26,vs25-26,Win24-25,vs24-25,Win23-24,vs23-24,Win22-23,vs22-23,Win21-22,vs21-22
Southeast,FGT-Z3,0.4774,0.0115,Not screened,0.4659,0.429,0.4536,0.4572,0.4652,0.5408,0.6245,0.6734,0.6636,0.6637,0.6511,0.6511,0.6516,0.6566,0.6601,0.609,0.5904,0.6131,0.618,0.6245,0.6245,0.6250331126,-0.1476331126,0.1837748344,0.2936251656,0.0775328947,0.3998671053,0.0990728477,0.3783271523,0.0459271523,0.4314728477
West - California,GTN-Malin,0.0326,0.1065,Not screened,-0.0739,-0.1976,-0.183,-0.1398,-0.1998,-0.3172,-0.4497,-0.3837,-0.2151,-0.1967,-0.2009,-0.2332,-0.2398,-0.2829,-0.3246,-0.3744,-0.4889,-0.5797,-0.6567,-0.6466,-0.6435,-2.030409589,2.063009589,-0.6055125828,0.6381125828,0.5948631579,-0.5622631579,9.6561582781,-9.6235582781,0.4002357616,-0.3676357616
SouthCentral - TexCoast,Gulf S. Pool 16,-0.4656,-0.0081,Not screened,-0.4575,-0.4426,-0.463,-0.4643,-0.4385,-0.4791,-0.5154,-0.5028,-0.5033,-0.5648,-0.5995,-0.639,-0.6181,-0.6297,-0.5826,-0.5521,-0.54,-0.54,-0.5399,-0.4826,-0.4987,-1.1335767606,0.6679767606,-0.4439613333,-0.0216386667,-0.6766470588,0.2110470588,-0.8936439189,0.4280439189,-0.3373251656,-0.1282748344
SouthCentral - Perryville,Gulf South - Perryville,-0.2267,-0.0164,Not screened,-0.2103,-0.2143,-0.23,-0.2275,-0.2149,-0.2276,-0.2655,-0.2657,-0.2692,-0.2732,-0.2746,-0.2771,-0.26,-0.2548,-0.2469,-0.2348,-0.2463,-0.2412,-0.2307,-0.2392,-0.2326,-0.1469625,-0.0797375,-0.1930823529,-0.0336176471,-0.156115,-0.070585,-0.2486042105,0.0219042105,-0.2123486726,-0.0143513274
SouthCentral - TexCoast,HSC-HPL Pool,-0.4656,-0.0081,Not screened,-0.4575,-0.4426,-0.463,-0.4643,-0.4385,-0.4791,-0.5154,-0.5028,-0.5033,-0.5648,-0.5995,-0.639,-0.6181,-0.6297,-0.5826,-0.5521,-0.54,-0.54,-0.5399,-0.4826,-0.4987,-1.2182119205,0.7526119205,-0.6408278146,0.1752278146,-0.4876644737,0.0220644737,-0.7680463576,0.3024463576,-0.285397351,-0.180202649
Northeast - Demand,Iroquois (into),3.9873,-0.001,Not screened,3.9883,3.9883,3.9903,3.9903,3.9652,3.3801,3.7897,3.7897,3.8503,4.1242,4.1142,3.7167,4.3325,4.3385,4.3385,4.3385,4.3425,4.3425,4.3425,5.1497,5.1497,4.6927152318,-0.7054152318,3.3518874172,0.6354125828,0.5025328947,3.4847671053,1.2001324503,2.7871675497,2.2821854305,1.7051145695
Northeast - Demand Rest,Iroquois-Z2,9.0542,-0.0065,Not screened,9.0607,9.0263,9.3654,9.5795,8.7846,7.7901,7.441,7.4396,7.4386,8.225,8.227,8.2394,8.2404,8.2414,8.2265,8.2275,8.1874,8.3776,8.6886,8.994,9.1203,9.4366225166,-0.3824225166,4.9969536424,4.0572463576,1.0512171053,8.0029828947,3.2763576159,5.7778423841,5.1259602649,3.9282397351
West - California,KRGT-Del Pool,0.6098,0.1284,Not screened,0.4814,0.39,0.3396,0.45,0.3984,0.4299,0.1854,0.1399,0.3122,0.2469,0.1872,0.17,0.1225,0.0867,-0.015,-0.1168,-0.2377,-0.2651,-0.2881,-0.2825,-0.2825,-1.8175165563,2.4273165563,-0.498807947,1.108607947,1.1354934211,-0.5256934211,10.1646688742,-9.5548688742,0.6191059603,-0.0093059603
Northeast - Appalachia,Leidy-Transco,-0.3248,-0.0188,Not screened,-0.306,-0.3014,-0.2879,-0.2778,-0.2719,-0.2684,-0.3341,-0.3443,-0.3717,-0.3612,-0.389,-0.3899,-0.3551,-0.3845,-0.4111,-0.3884,-0.3714,-0.3601,-0.3297,-0.3549,-0.3595,0.4906291391,-0.8154291391,-0.3510596026,0.0262596026,-0.600625,0.275825,-0.6516887417,0.3268887417,-0.5308609272,0.2060609272
Midwest - Demand,Michcon,-0.2754,0.0408,Not screened,-0.3162,-0.3372,-0.3863,-0.3764,-0.3468,-0.3562,-0.3901,-0.4284,-0.4195,-0.416,-0.4549,-0.4995,-0.4818,-0.4983,-0.4934,-0.4821,-0.4889,-0.5126,-0.5202,-0.5425,-0.5549,-0.5629801325,0.2875801325,-0.3760927152,0.1006927152,-0.4604934211,0.1850934211,-0.1918211921,-0.0835788079,-0.191192053,-0.084207947
Northeast - Appalachia,Millennium East Pool,-0.2701,-0.014,Not screened,-0.2561,-0.2516,-0.2711,-0.2553,-0.2704,-0.2739,-0.3587,-0.3703,-0.4144,-0.4441,-0.4747,-0.5502,-0.5136,-0.5429,-0.5701,-0.5425,-0.5135,-0.53,-0.5397,-0.5744,-0.5793,0.2821523179,-0.5522523179,-0.1830794702,-0.0870205298,-0.6105921053,0.3404921053,-0.5154635762,0.2453635762,-0.4601655629,0.1900655629
Northeast - Demand,Millennium-Ramapo,1.9662,-0.0026,Not screened,1.9688,1.985,2.1407,2.1478,2.1517,2.1455,1.9695,1.9599,1.9139,1.9327,1.9881,1.9359,1.9477,2.0048,1.9951,2.0961,2.0185,1.9599,2.1583,2.1782,2.1598,1.9971342466,-0.0309342466,1.294944898,0.671255102,-0.0110414474,1.9772414474,1.4003403974,0.5658596026,1.1763496454,0.7898503546
Midwest - Chicago,NBPL-Ventura,0.5808,-0.0063,Not screened,0.5871,0.62,0.6072,0.6194,0.6322,0.6239,0.6039,0.5955,0.6126,0.6203,0.6175,0.604,0.6129,0.5959,0.6011,0.6125,0.5819,0.57,0.5807,0.5755,0.5614,0.527384106,0.053415894,-0.2102980132,0.7910980132,0.3662171053,0.2145828947,0.2129139073,0.3678860927,-0.1445364238,0.7253364238
SouthCentral - Midcon,NGPL-AM Pool,-0.2382,0.0044,Not screened,-0.2426,-0.2335,-0.2621,-0.2213,-0.1897,-0.2149,-0.2943,-0.335,-0.3225,-0.3378,-0.3785,-0.403,-0.4301,-0.4445,-0.4497,-0.4746,-0.487,-0.549,-0.585,-0.5807,-0.5902,-0.3147463768,0.0765463768,-0.392,0.1538,0.1698026316,-0.4080026316,0.0379139073,-0.2761139073,-0.2300662252,-0.0081337748
SouthCentral - Midcon,NGPL-AM Stor,-0.2382,0.0044,Not screened,-0.2426,-0.2335,-0.2621,-0.2213,-0.1897,-0.2149,-0.2943,-0.335,-0.3225,-0.3378,-0.3785,-0.403,-0.4301,-0.4445,-0.4497,-0.4746,-0.487,-0.549,-0.585,-0.5807,-0.5902,-1.1108940397,0.8726940397,-0.5042384106,0.2660384106,-0.3424342105,0.1042342105,-0.515794702,0.277594702,-0.3341721854,0.0959721854
