Price Region,Pair Key,Rich Leg,Cheap Leg,Trade Direction,Current Spread,Fair Spread Full,Fair Spread 40D,Fair Spread 20D,Dislocation,Robust Z Full,Robust Z 40D,Robust Z 20D,Percentile,Window Agreement,Paired Dates,Overlap,Qualified,Confidence Score,Quality Flags,5d Event Count,5d Hit Rate,5d Mean Favorable Move,5d Median Favorable Move,10d Event Count,10d Hit Rate,10d Mean Favorable Move,10d Median Favorable Move,20d Event Count,20d Hit Rate,20d Mean Favorable Move,20d Median Favorable Move
SouthCentral - Midcon,OGT :: Panhandle,OGT,Panhandle,Short OGT / Long Panhandle,0.009999999999999981,0.0,-0.00315,-0.006249999999999999,0.009999999999999981,1.5685831615734749,4.223596898627235,19.928136075445018,89.90825688073394,1.0,109,1.0,False,85.68583161573476,insufficient_backtest_events,0,,,,0,,,,0,,,
SouthCentral - Midcon,OGT :: Southern Star,Southern Star,OGT,Short Southern Star / Long OGT,-0.1575,-0.1262,-0.12764999999999999,-0.139,-0.031299999999999994,-2.2700602980233784,-2.6491512066284746,-1.2863999020945383,4.587155963302752,1.0,109,1.0,True,92.70060298023378,insufficient_backtest_events,4,,,,2,,,,1,,,
SouthCentral - Midcon,Panhandle :: Southern Star,Southern Star,Panhandle,Short Southern Star / Long Panhandle,-0.16749999999999998,-0.1277,-0.12405,-0.13269999999999998,-0.039799999999999974,-3.1582037914315926,-5.141512894606679,-2.8800341631638626,1.834862385321101,1.0,109,1.0,True,100.0,insufficient_backtest_events,4,,,,2,,,,1,,,
SouthCentral - Perryville,Carthage :: CG-Mainline,Carthage,CG-Mainline,Short Carthage / Long CG-Mainline,-0.1925,-0.24950000000000006,-0.23545000000000002,-0.2384,0.05700000000000005,1.3879412740132087,3.201036256300527,3.6209503929796036,100.0,1.0,109,1.0,True,83.87941274013208,insufficient_backtest_events,3,,,,2,,,,1,,,
SouthCentral - Perryville,Carthage :: TETCO-ELA,Carthage,TETCO-ELA,Short Carthage / Long TETCO-ELA,-0.305,-0.37625000000000003,-0.345,-0.34330000000000005,0.07125000000000004,1.3869398733826117,3.1740741622427864,4.3054993479922885,100.0,1.0,108,0.9908256880733946,True,83.86939873382612,insufficient_backtest_events,3,,,,2,,,,2,,,
SouthCentral - Perryville,Carthage :: TGT-Mainline,Carthage,TGT-Mainline,Short Carthage / Long TGT-Mainline,-0.28,-0.34109999999999996,-0.3226,-0.32030000000000003,0.06109999999999993,1.4958760582221406,4.911676299778285,3.05415478729291,99.07407407407408,1.0,108,0.9908256880733946,True,84.9587605822214,insufficient_backtest_events,3,,,,2,,,,2,,,
SouthCentral - Perryville,Carthage :: Trunkline-Z1A,Carthage,Trunkline-Z1A,Short Carthage / Long Trunkline-Z1A,-0.265,-0.31755,-0.30695,-0.30885,0.052549999999999986,1.286551339763883,2.7470764427226357,3.0808770628175735,100.0,1.0,108,0.9908256880733946,True,82.86551339763884,insufficient_backtest_events,3,,,,2,,,,1,,,
SouthCentral - Perryville,CG-Mainline :: TETCO-ELA,TETCO-ELA,CG-Mainline,Short TETCO-ELA / Long CG-Mainline,-0.11249999999999999,-0.11105,-0.10669999999999999,-0.10475000000000001,-0.001449999999999993,-0.08504448706443989,-0.8597904186734635,-1.5151604017227724,47.22222222222222,1.0,108,0.9908256880733946,False,70.8504448706444,insufficient_backtest_events,2,,,,1,,,,1,,,
SouthCentral - Perryville,CG-Mainline :: TGT-Mainline,TGT-Mainline,CG-Mainline,Short TGT-Mainline / Long CG-Mainline,-0.0875,-0.08435000000000001,-0.08435000000000001,-0.08360000000000001,-0.003149999999999986,-0.2103609794407197,-0.45691309512930567,-0.9229873550732353,42.592592592592595,1.0,108,0.9908256880733946,False,72.10360979440719,insufficient_backtest_events,2,,,,1,,,,1,,,
SouthCentral - Perryville,CG-Mainline :: Trunkline-Z1A,Trunkline-Z1A,CG-Mainline,Short Trunkline-Z1A / Long CG-Mainline,-0.07249999999999998,-0.05890000000000001,-0.07149999999999998,-0.07149999999999998,-0.013599999999999973,-1.2230765771842225,-0.14823972735749455,-1.2263468354119726,10.185185185185185,1.0,108,0.9908256880733946,False,82.23076577184223,insufficient_backtest_events,6,,,,3,,,,2,,,
SouthCentral - Perryville,TETCO-ELA :: TGT-Mainline,TGT-Mainline,TETCO-ELA,Short TGT-Mainline / Long TETCO-ELA,0.024999999999999994,0.03425000000000002,0.021699999999999997,0.020500000000000004,-0.009250000000000022,-0.7998768621998074,1.059914050606075,3.035208417644711,28.703703703703702,0.3333333333333333,108,1.0,False,64.66543528866474,insufficient_backtest_events,4,,,,2,,,,1,,,
SouthCentral - Perryville,TETCO-ELA :: Trunkline-Z1A,Trunkline-Z1A,TETCO-ELA,Short Trunkline-Z1A / Long TETCO-ELA,0.04000000000000001,0.052800000000000014,0.03724999999999999,0.03325,-0.012800000000000006,-0.5446991622271556,0.34349066454826843,1.2140833670578737,25.0,0.3333333333333333,108,1.0,False,62.11365828893822,insufficient_backtest_events,3,,,,2,,,,1,,,
SouthCentral - Perryville,TGT-Mainline :: Trunkline-Z1A,Trunkline-Z1A,TGT-Mainline,Short Trunkline-Z1A / Long TGT-Mainline,0.015000000000000013,0.021099999999999994,0.012299999999999991,0.011400000000000007,-0.0060999999999999804,-0.3975259548606008,0.43882531339441483,0.7248258907808217,33.33333333333333,0.3333333333333333,108,1.0,False,60.641926215272676,insufficient_backtest_events,3,,,,2,,,,1,,,
SouthCentral - TexCoast,Atmos Zone 3 :: HSC-HPL Pool,HSC-HPL Pool,Atmos Zone 3,Short HSC-HPL Pool / Long Atmos Zone 3,-0.7027999999999999,-0.6943,-0.6063500000000001,-0.5896000000000001,-0.008499999999999841,-0.08120639455454608,-1.3023950701004503,-1.1113879763136898,45.87155963302752,1.0,109,1.0,False,70.81206394554546,insufficient_backtest_events,1,,,,1,,,,1,,,
SouthCentral - TexCoast,Atmos Zone 3 :: NGPL-TXOK East,NGPL-TXOK East,Atmos Zone 3,Short NGPL-TXOK East / Long Atmos Zone 3,-0.7258,-0.7227,-0.6582000000000001,-0.6571500000000001,-0.0030999999999999917,-0.0368119956756591,-0.8734784548011061,-0.6744907594765941,49.54128440366973,1.0,109,1.0,False,70.36811995675659,insufficient_backtest_events,1,,,,1,,,,1,,,
SouthCentral - TexCoast,Atmos Zone 3 :: TGP-Z0 South,TGP-Z0 South,Atmos Zone 3,Short TGP-Z0 South / Long Atmos Zone 3,-0.5540999999999999,-0.5096499999999999,-0.44520000000000004,-0.43195000000000006,-0.04444999999999999,-0.448148195197828,-1.4473309104827807,-1.1427052187249103,33.33333333333333,1.0,108,0.9908256880733946,False,74.48148195197828,insufficient_backtest_events,0,,,,0,,,,0,,,
SouthCentral - TexCoast,HSC-HPL Pool :: NGPL-TXOK East,HSC-HPL Pool,NGPL-TXOK East,Short HSC-HPL Pool / Long NGPL-TXOK East,-0.02300000000000002,-0.03179999999999994,-0.04995000000000002,-0.0637,0.008799999999999919,0.34309356551410347,1.34151483157891,5.1795799831504565,62.38532110091744,1.0,109,1.0,False,73.43093565514104,insufficient_backtest_events,3,,,,2,,,,1,,,
SouthCentral - TexCoast,HSC-HPL Pool :: TGP-Z0 South,TGP-Z0 South,HSC-HPL Pool,Short TGP-Z0 South / Long HSC-HPL Pool,0.1487,0.1879,0.1711,0.15164999999999998,-0.03920000000000001,-1.0791852151625543,-0.7535457861484153,-0.4471343236979637,21.296296296296298,1.0,108,0.9908256880733946,False,80.79185215162555,insufficient_backtest_events,1,,,,1,,,,1,,,
SouthCentral - TexCoast,NGPL-TXOK East :: TGP-Z0 South,TGP-Z0 South,NGPL-TXOK East,Short TGP-Z0 South / Long NGPL-TXOK East,0.17170000000000002,0.22404999999999997,0.22665,0.22005000000000005,-0.05234999999999995,-3.138630334097759,-4.187939800365978,-3.7920497931039097,15.74074074074074,1.0,108,0.9908256880733946,True,100.0,insufficient_backtest_events,4,,,,3,,,,2,,,
SouthCentral - WesTex,EP-Waha Pool :: Waha,EP-Waha Pool,Waha,Short EP-Waha Pool / Long Waha,0.09529999999999994,0.06580000000000008,0.06329999999999997,0.06775000000000009,0.02949999999999986,5.527077056822342,5.913343644726331,6.882303860585131,100.0,1.0,109,1.0,True,100.0,insufficient_backtest_events,0,,,,0,,,,0,,,
Southeast,FGT-Z3 :: Sonat-Z0 South,FGT-Z3,Sonat-Z0 South,Short FGT-Z3 / Long Sonat-Z0 South,0.10250000000000004,0.0988,0.07494999999999999,0.09554999999999997,0.0037000000000000366,0.2133004965866189,1.446087192496516,0.5450826486467871,57.798165137614674,1.0,109,1.0,False,72.13300496586619,insufficient_backtest_events,6,,,,3,,,,2,,,
Southeast,FGT-Z3 :: TGP-500L,FGT-Z3,TGP-500L,Short FGT-Z3 / Long TGP-500L,0.08500000000000008,0.016900000000000026,0.05285000000000001,0.07859999999999998,0.06810000000000005,2.3737891845145263,1.0896923576468633,0.313944789865475,96.29629629629629,1.0,108,0.9908256880733946,True,93.73789184514526,insufficient_backtest_events,5,,,,3,,,,2,,,
Southeast,FGT-Z3 :: Transco-85,Transco-85,FGT-Z3,Short Transco-85 / Long FGT-Z3,0.010000000000000009,0.012550000000000033,0.040299999999999975,0.016499999999999987,-0.0025500000000000245,-0.08934812658001703,-1.9371630343261426,-0.46640318474445297,45.370370370370374,1.0,108,0.9908256880733946,False,70.89348126580018,insufficient_backtest_events,4,,,,2,,,,1,,,
Southeast,Sonat-Z0 South :: TGP-500L,Sonat-Z0 South,TGP-500L,Short Sonat-Z0 South / Long TGP-500L,-0.01749999999999996,-0.09380000000000005,-0.021299999999999986,-0.018450000000000022,0.07630000000000009,3.6242003484552474,0.2726664772352214,0.09708579113678864,87.96296296296296,1.0,108,0.9908256880733946,True,100.0,insufficient_backtest_events,5,,,,3,,,,2,,,
Southeast,Sonat-Z0 South :: Transco-85,Transco-85,Sonat-Z0 South,Short Transco-85 / Long Sonat-Z0 South,-0.09250000000000003,-0.08925000000000002,-0.031700000000000006,-0.07915,-0.003250000000000003,-0.0880359425019654,-3.5505660758594706,-0.6253091415980949,46.2962962962963,1.0,108,0.9908256880733946,False,70.88035942501965,insufficient_backtest_events,5,,,,2,,,,1,,,
Southeast,TGP-500L :: Transco-85,Transco-85,TGP-500L,Short Transco-85 / Long TGP-500L,-0.07500000000000007,-0.003799999999999998,-0.010300000000000004,-0.05669999999999997,-0.07120000000000007,-3.1909463172580406,-1.18908861411814,-0.752632981611084,2.7777777777777777,1.0,108,1.0,True,100.0,insufficient_backtest_events,4,,,,2,,,,1,,,
West - California,GTN-Malin :: PG&E-Citygate,PG&E-Citygate,GTN-Malin,Short PG&E-Citygate / Long GTN-Malin,-0.42429999999999995,-0.3231,-0.36495,-0.4031,-0.10119999999999996,-1.706461621475786,-1.3018220024369398,-0.46501476750906595,4.587155963302752,1.0,109,1.0,True,87.06461621475786,insufficient_backtest_events,3,,,,2,,,,1,,,
West - California,GTN-Malin :: Socal-Border,Socal-Border,GTN-Malin,Short Socal-Border / Long GTN-Malin,-0.5877,-0.5186999999999999,-0.5847500000000001,-0.5794,-0.06900000000000006,-0.37623170900472996,-0.066658215760666,-0.21783164605664293,22.018348623853214,1.0,109,1.0,False,73.7623170900473,insufficient_backtest_events,5,,,,3,,,,2,,,
West - California,PG&E-Citygate :: Socal-Border,Socal-Border,PG&E-Citygate,Short Socal-Border / Long PG&E-Citygate,-0.1634,-0.15040000000000003,-0.20779999999999998,-0.19105000000000003,-0.012999999999999956,-0.08777157030225935,0.977076336729553,0.6464356845590257,46.788990825688074,0.3333333333333333,109,1.0,False,57.54438236968926,insufficient_backtest_events,7,,,,4,,,,2,,,
