Price Region,Component,Verdict,Signal Status,Confidence,Confidence Score,Current Value,Program Fair Value,Distance to Fair,Fair Value Method,Confidence Reason,Rich Peers,Cheap Peers,Neutral Peers,Eligible Peers,Forward Robust Z,Regional Residual,Structural Verdict,Distance to 3W Median,Distance to 5W Median,Strongest Confirming Peer,Strongest Contradicting Peer,Quality Flags,Explanation,Forward Daily Settles,FoM Observations,Price Observations,Representative Candidates
SouthCentral - Midcon,Southern Star,rich,Confirmed Anomaly,high,93.0811745305746,0.0175,-0.041675000000000004,0.059175000000000005,Median value implied by 4 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,4,0,0,4,2.2671592624987484,0.1507,near_fair_value,0.48677152317880795,0.3149503311258278,NGPL-Midcont Pool,,forward_proxy_used|insufficient_backtest_events,Current 0.018 is 0.059 above fair -0.042; 4 of 4 independent forward comparisons agree. Completed-winter history is near fair value.,108,140,9698,Southern Star
SouthCentral - Perryville,Carthage,rich,Confirmed Anomaly,high,85.47478324361228,-0.4463,-0.49477499999999996,0.04847499999999999,Median value implied by 4 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,4,0,0,4,0.8818387325525813,-0.2813,near_fair_value,-0.033452317880794724,-0.033452317880794724,TGT-Mainline,,insufficient_backtest_events,Current -0.446 is 0.048 above fair -0.495; 4 of 4 independent forward comparisons agree. Completed-winter history is near fair value.,108,0,9709,Carthage
SouthCentral - Perryville,CG-Mainline,neutral,No Edge,low,48.69674039770091,-0.2423,-0.2313,-0.010999999999999982,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,2,2,4,-1.6547506632492472,-0.07729999999999998,near_fair_value,-0.01385629139072847,-0.012464473684210442,,,insufficient_backtest_events|shared_forward_symbol,Current -0.242 is close to estimated fair value -0.231; no qualified regional dislocation.,108,140,9741,CG-Mainline|EGT-Perryville Hub|Gulf South - Perryville
SouthCentral - Perryville,TETCO-ELA,rich,Structural Divergence,medium,60.0,-0.13,-0.11639999999999999,-0.013600000000000015,Median value implied by 4 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,1,3,4,-0.7457102806635652,0.035,rich,0.05082781456953642,0.1043377483443709,,Carthage,insufficient_backtest_events,Current -0.130 is 0.014 below fair -0.116; 0 of 4 independent forward comparisons agree. Completed-winter history also looks rich.,107,140,9730,TETCO-ELA
SouthCentral - Perryville,TGT-Mainline,neutral,No Edge,low,39.318488724874065,-0.155,-0.15125,-0.0037500000000000033,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,1,3,4,-0.7198891759798243,0.010000000000000009,mixed_regime,-0.04374999999999997,0.07076158940397348,,,insufficient_backtest_events,Current -0.155 is close to estimated fair value -0.151; no qualified regional dislocation.,107,140,9735,TGT-Mainline
SouthCentral - Perryville,Trunkline-Z1A,mixed,Mixed Evidence,low,35.090254402822616,-0.165,-0.17945,0.01444999999999999,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,1,2,4,,0.0,rich,0.05026315789473687,0.07317880794701984,,,insufficient_backtest_events,"Forward comparisons and completed-winter history disagree, so no single directional conclusion is reliable.",107,140,6596,Trunkline-Z1A
SouthCentral - TexCoast,Atmos Zone 3,neutral,No Edge,low,39.31787135516802,-1.1408,-1.1198000000000001,-0.020999999999999908,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,1,3,4,-0.9369456672457196,-0.6258,mixed_regime,-0.42572763157894744,-0.42572763157894744,,,insufficient_backtest_events,Current -1.141 is close to estimated fair value -1.120; no qualified regional dislocation.,108,0,4413,Atmos Zone 3
SouthCentral - TexCoast,HSC-HPL Pool,neutral,No Edge,low,43.73516270160111,-0.4463,-0.42569999999999997,-0.020600000000000007,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,1,3,4,-14.164305949008492,0.06870000000000004,near_fair_value,0.19452781456953655,0.19452781456953655,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.446 is close to estimated fair value -0.426; no qualified regional dislocation.,108,140,9739,Gulf S. Pool 16|HSC-HPL Pool
SouthCentral - TexCoast,NGPL-TXOK East,rich,Structural Divergence,medium,60.0,-0.415,-0.39115,-0.023849999999999982,Median value implied by 4 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,2,2,4,-4.198013465133531,0.10000000000000003,rich,0.10168874172185433,0.10168874172185433,,TETCO-STX,forward_proxy_used|insufficient_backtest_events,Current -0.415 is 0.024 below fair -0.391; 0 of 4 independent forward comparisons agree. Completed-winter history also looks rich.,108,140,9741,NGPL-TXOK East
SouthCentral - TexCoast,TETCO-STX,rich,Confirmed Anomaly,high,94.35633765636507,-0.515,-0.6193,0.10429999999999995,Median value implied by 4 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,4,0,0,4,,0.0,mixed_regime,-0.006225165562913859,-0.14125827814569525,HSC-HPL Pool,,insufficient_backtest_events,Current -0.515 is 0.104 above fair -0.619; 4 of 4 independent forward comparisons agree. Completed winters span different regimes.,107,139,9724,TETCO-STX
SouthCentral - TexCoast,TGP-Z0 South,mixed,Mixed Evidence,low,34.74309518142938,-0.5925,-0.6328,0.0403,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,1,2,4,-2.905854025416277,-0.07750000000000001,rich,0.08504736842105265,0.08504736842105265,,,forward_proxy_used|insufficient_backtest_events,"Forward comparisons and completed-winter history disagree, so no single directional conclusion is reliable.",107,140,4607,TGP-Z0 South
SouthCentral - WesTex,EP-Waha Pool,neutral,No Edge,low,37.98739057274934,-1.0662,-1.0752000000000002,0.009000000000000119,Median value implied by 1 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,1,1,1.5974781145498287,0.03729999999999989,near_fair_value,1.0159523178807943,0.6978397350993373,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -1.066 is close to estimated fair value -1.075; no qualified regional dislocation.,108,91,4564,EP-Keystone|EP-Plains Pool|EP-Waha Pool
SouthCentral - WesTex,Waha,neutral,No Edge,low,37.98739057274934,-1.1408,-1.1318000000000001,-0.008999999999999897,Median value implied by 1 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,1,1,-1.5974781145500008,-0.03730000000000011,near_fair_value,0.9171801324503313,0.5991337748344367,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -1.141 is close to estimated fair value -1.132; no qualified regional dislocation.,108,140,9740,ONEOK Westex|Waha
Southeast,FGT-Z3,neutral,No Edge,low,44.25960823602643,0.5225,0.5118499999999999,0.010650000000000048,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,0,2,3,1.0059547898479533,0.04335,mixed_regime,0.3387251655629139,0.4234271523178808,,,insufficient_backtest_events,Current 0.522 is close to estimated fair value 0.512; no qualified regional dislocation.,108,140,9739,FGT-Z3
Southeast,Sonat-Z0 South,neutral,No Edge,low,41.19003029533744,0.4135,0.4240999999999999,-0.010599999999999943,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,0,2,3,0.6970274435641197,-0.06564999999999999,mixed_regime,0.38075165562913904,0.4234013157894737,,,forward_proxy_used|insufficient_backtest_events,Current 0.413 is close to estimated fair value 0.424; no qualified regional dislocation.,108,140,9730,Sonat-Z0 South
Southeast,TGP-500L,cheap,Confirmed Anomaly,high,88.8756678130566,0.445,0.5078,-0.06280000000000002,Median value implied by 3 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,0,3,0,3,-3.4630570337306086,-0.03414999999999996,mixed_regime,0.41423841059602645,0.5053973509933776,Sonat-Z0 South,,insufficient_backtest_events,Current 0.445 is 0.063 below fair 0.508; 3 of 3 independent forward comparisons agree. Completed winters span different regimes.,107,140,9729,TGP-500L
Southeast,Transco-85,neutral,No Edge,low,45.546429934133634,0.5133,0.5027,0.010599999999999943,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,0,2,3,2.184919534687479,0.034150000000000014,mixed_regime,0.38611456953642376,0.43472384105960266,,,insufficient_backtest_events,Current 0.513 is close to estimated fair value 0.503; no qualified regional dislocation.,107,140,9739,Transco-85
West - California,GTN-Malin,neutral,No Edge,low,49.97267768153835,-0.0625,0.011225000000000013,-0.07372500000000001,Median value implied by 2 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,1,1,2,-1.422672668767472,-0.405,mixed_regime,0.5430125827814569,-0.4627357615894041,,,insufficient_backtest_events,Current -0.062 is close to estimated fair value 0.011; no qualified regional dislocation.,108,0,4611,GTN-Malin
West - California,PG&E-Citygate,neutral,No Edge,low,49.387307159517256,0.3425,0.317025,0.025475000000000025,Median value implied by 2 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,0,1,2,,0.0,mixed_regime,0.3834271523178808,-0.6805132450331126,,,insufficient_backtest_events,Current 0.343 is close to estimated fair value 0.317; no qualified regional dislocation.,108,140,9742,PG&E-Citygate
West - California,Socal-Border,neutral,No Edge,low,31.463001768532596,0.52,0.47175,0.048250000000000015,Median value implied by 2 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,2,2,0.21296104182458972,0.1775,near_fair_value,1.1214900662251654,-0.011357615894039719,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current 0.520 is close to estimated fair value 0.472; no qualified regional dislocation.,108,140,9740,KRGT-Del Pool|PG&E-Topock|Socal-Border|Socal-Ehrenberg|Socal-Needles
