Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,Component,REGION,PriceRegionLabel,Group_Outlier_Flag,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis
Global_G03,3,regular,Global_G03_S02,2,supergroup,NGPL-TXOK East,South Central,SouthCentral - TexCoast,In-family,63,-0.335184126984127,0.11741945929616165,0.060473421269707034,-0.3099999999999996,0.05930400000000071,-0.645,-0.15500000000000025,2026-09-03,-0.2315999999999998
Global_G03,3,regular,Global_G03_S03,3,supergroup,Chicago,Midwest,Midwest - Chicago,In-family,62,-0.26862903225806456,0.1288447068667266,0.0655942778725209,-0.24499999999999966,0.08154300000000056,-0.5949999999999998,-0.050000000000000266,2026-09-02,-0.20499999999999963
Global_G03,3,regular,Global_G03_S03,3,supergroup,NGPL-Nicor,Midwest,Midwest - Chicago,In-family,63,-0.26591587301587305,0.1273988810989874,0.06518065585691506,-0.24499999999999966,0.08154299999999957,-0.585,-0.05500000000000016,2026-09-03,-0.16769999999999996
Global_G03,3,regular,Global_G03_S03,3,supergroup,NGPL-Nipsco,Midwest,Midwest - Chicago,In-family,63,-0.26671269841269846,0.12849247560757168,0.06673423578498854,-0.24499999999999966,0.08895600000000073,-0.5949999999999998,-0.050000000000000266,2026-09-03,-0.16290000000000004
Global_G03,3,regular,Global_G03_S04,4,supergroup,REX E-NGPL,Midwest,Midwest - Chicago,In-family,63,-0.3160984126984127,0.1294415392917359,0.06585015126785167,-0.28610000000000024,0.11267760000000075,-0.6506999999999996,-0.12780000000000014,2026-09-03,-0.23349999999999982
Global_G03,3,regular,Global_G03_S04,4,supergroup,REX-Z3 Del Pool,Midwest,Midwest - Chicago,No forward mark,62,-0.31733870967741934,0.12860766919339198,0.065239994103319,-0.2875000000000001,0.11490150000000018,-0.645,-0.13000000000000034,2026-09-02,-0.2849999999999997
Global_G04,4,regular,Global_G04_S01,1,supergroup,EP-SJ Blanco Pool,South Central,Mountain - WesTex,In-family,63,-0.611753968253968,0.5559369660908123,0.1557811513648911,-0.41500000000000004,0.17791200000000015,-2.405,-0.1200000000000001,2026-09-03,-0.7404999999999999
Global_G04,4,regular,Global_G04_S01,1,supergroup,EP-SJ Bondad Stn,South Central,Mountain - WesTex,In-family,63,-0.6161698412698412,0.5592186148878372,0.16188930896761417,-0.4049999999999998,0.185325,-2.42,-0.11000000000000032,2026-09-03,-0.7336999999999998
Global_G04,4,regular,Global_G04_S01,1,supergroup,TW-Blanco,South Central,Mountain - WesTex,In-family,63,-0.5753952380952383,0.5549336805562158,0.16536050277452113,-0.38500000000000023,0.19273799999999983,-2.375,-0.03000000000000025,2026-09-03,-0.7199
Global_G04,4,regular,Global_G04_S02,2,supergroup,NWP-Rocky Mtn,Rockies,Mountain - Opal,In-family,61,-0.5732622950819671,0.5590410882824073,0.14039969936549335,-0.3849999999999998,0.14826000000000011,-2.33,-0.14939999999999998,2026-09-03,-0.4558
Global_G04,4,regular,Global_G04_S02,2,supergroup,NWP-Wyoming,Rockies,Mountain - WesTex,In-family,63,-0.5928603174603174,0.5442026515743402,0.14294440795359437,-0.38000000000000034,0.13343399999999978,-2.33,-0.17000000000000037,2026-09-03,-0.3902000000000001
