Price Region,Component,Verdict,Signal Status,Confidence,Confidence Score,Current Value,Program Fair Value,Distance to Fair,Fair Value Method,Confidence Reason,Rich Peers,Cheap Peers,Neutral Peers,Eligible Peers,Forward Robust Z,Regional Residual,Structural Verdict,Distance to 3W Median,Distance to 5W Median,Strongest Confirming Peer,Strongest Contradicting Peer,Quality Flags,Explanation,Forward Daily Settles,FoM Observations,Price Observations,Representative Candidates
SouthCentral - Midcon,NGPL-Midcont Pool,neutral,No Edge,low,31.361988483912913,-0.4075,-0.4043,-0.0031999999999999806,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,4,4,-1.218110177562202,0.050000000000000044,near_fair_value,0.018691588785046787,0.018691588785046787,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.407 is close to estimated fair value -0.404; no qualified regional dislocation.,99,140,9728,NGPL-AM Stor|NGPL-Midcont Pool
SouthCentral - Midcon,OGT,neutral,No Edge,low,50.665740689772306,-0.48,-0.47124999999999995,-0.008750000000000036,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,2,2,4,-1.6696410603437075,-0.022499999999999964,near_fair_value,-0.05188691588785049,-0.05188691588785049,,,insufficient_backtest_events,Current -0.480 is close to estimated fair value -0.471; no qualified regional dislocation.,99,0,4592,OGT
SouthCentral - Midcon,Panhandle,neutral,No Edge,low,41.73194763193963,-0.4625,-0.47445,0.01194999999999996,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,0,3,4,-0.8584427847884094,-0.0050000000000000044,near_fair_value,0.013130841121495263,0.013130841121495263,,,forward_proxy_used|insufficient_backtest_events,Current -0.463 is close to estimated fair value -0.474; no qualified regional dislocation.,99,140,9727,Panhandle
SouthCentral - Midcon,Southern Star,neutral,No Edge,low,50.19644100109298,-0.4575,-0.4719,0.014399999999999968,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,2,0,2,4,0.0,0.0,near_fair_value,-0.002943925233644895,-0.002943925233644895,,,forward_proxy_used|insufficient_backtest_events,Current -0.458 is close to estimated fair value -0.472; no qualified regional dislocation.,99,140,9684,Southern Star
SouthCentral - Perryville,Carthage,cheap,Structural Divergence,medium,60.0,-0.3775,-0.4113,0.0338,Median value implied by 3 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",1,0,2,3,0.6097668987187397,-0.10375000000000001,cheap,-0.11161214953271031,-0.11161214953271031,,TETCO-ELA,insufficient_backtest_events,Current -0.378 is 0.034 above fair -0.411; 0 of 3 independent forward comparisons agree. Completed-summer history also looks cheap.,99,0,9695,Carthage
SouthCentral - Perryville,CG-Mainline,mixed,Mixed Evidence,low,41.60356187233498,-0.2875,-0.2724,-0.015100000000000002,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,1,1,3,-1.9970216604110984,-0.013749999999999984,near_fair_value,-0.019158878504672905,0.039415887850467346,,,insufficient_backtest_events|shared_forward_symbol,"Forward comparisons and completed-summer history disagree, so no single directional conclusion is reliable.",99,140,9727,CG-Mainline|EGT-Perryville Hub|Gulf South - Perryville
SouthCentral - Perryville,TETCO-ELA,cheap,Confirmed Anomaly,high,87.45591639735552,-0.2263,-0.1823,-0.04400000000000001,Median value implied by 3 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,0,3,0,3,-1.7647966108168958,0.04744999999999999,near_fair_value,0.010662616822429888,0.010662616822429888,TGT-Mainline,,insufficient_backtest_events,Current -0.226 is 0.044 below fair -0.182; 3 of 3 independent forward comparisons agree. Completed-summer history is near fair value.,99,140,9716,TETCO-ELA
SouthCentral - Perryville,TGT-Mainline,rich,Emerging Anomaly,high,77.50069735643669,-0.26,-0.2751,0.015100000000000002,Median value implied by 3 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,2,0,1,3,1.9970216604110984,0.013749999999999984,near_fair_value,-0.00551401869158874,-0.00551401869158874,CG-Mainline,,insufficient_backtest_events,Current -0.260 is 0.015 above fair -0.275; 2 of 3 independent forward comparisons agree. Completed-summer history is near fair value.,99,140,9721,TGT-Mainline
SouthCentral - TexCoast,Atmos Zone 3,cheap,Structural Divergence,medium,60.0,-1.4725,-1.5489,0.07640000000000002,Median value implied by 3 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,0,3,3,0.3609835253994907,-1.0412499999999998,cheap,-1.1435752336448597,-1.1435752336448597,,,insufficient_backtest_events,Current -1.472 is 0.076 above fair -1.549; 0 of 3 independent forward comparisons agree. Completed-summer history also looks cheap.,99,0,4399,Atmos Zone 3
SouthCentral - TexCoast,HSC-HPL Pool,neutral,No Edge,low,33.47458046680583,-0.3775,-0.3561,-0.021399999999999975,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,3,3,-0.9954553277792322,0.05375000000000002,near_fair_value,-0.06373831775700944,-0.06373831775700944,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.378 is close to estimated fair value -0.356; no qualified regional dislocation.,99,140,9725,Gulf S. Pool 16|HSC-HPL Pool
SouthCentral - TexCoast,NGPL-TXOK East,neutral,No Edge,low,31.86869838462705,-0.3475,-0.32609999999999995,-0.02140000000000003,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,3,3,-0.8588839167435736,0.08375000000000005,near_fair_value,-0.02869158878504674,-0.02869158878504674,,,forward_proxy_used|insufficient_backtest_events,Current -0.347 is close to estimated fair value -0.326; no qualified regional dislocation.,99,140,9727,NGPL-TXOK East
SouthCentral - TexCoast,TGP-Z0 South,neutral,No Edge,low,34.37980324418573,-0.485,-0.5064,0.021399999999999975,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,3,3,0.9954553277792577,-0.053749999999999964,near_fair_value,-0.13191495327102798,-0.13191495327102798,,,forward_proxy_used|insufficient_backtest_events,Current -0.485 is close to estimated fair value -0.506; no qualified regional dislocation.,99,140,4593,TGP-Z0 South
Southeast,FGT-Z3,neutral,No Edge,low,31.605209353385447,0.4738,0.4779999999999999,-0.004199999999999926,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,3,3,-0.2522701659459748,0.17505000000000004,near_fair_value,0.09160373831775703,0.09160373831775703,,,insufficient_backtest_events,Current 0.474 is close to estimated fair value 0.478; no qualified regional dislocation.,99,140,9725,FGT-Z3
Southeast,Sonat-Z0 South,neutral,No Edge,low,32.85208847647897,0.275,0.2716,0.003400000000000014,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,3,3,0.6263128480854223,-0.023749999999999938,near_fair_value,0.09787383177570089,0.09787383177570089,,,forward_proxy_used|insufficient_backtest_events,Current 0.275 is close to estimated fair value 0.272; no qualified regional dislocation.,99,140,9716,Sonat-Z0 South
Southeast,TGP-500L,rich,Structural Divergence,medium,60.0,0.3075,0.3076,-9.999999999998899e-05,Median value implied by 3 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,0,3,3,-0.012970976143765169,0.008750000000000036,rich,0.16460280373831773,0.29018691588785045,,,insufficient_backtest_events,Current 0.307 is 0.000 below fair 0.308; 0 of 3 independent forward comparisons agree. Completed-summer history also looks rich.,99,140,9715,TGP-500L
Southeast,Transco-85,neutral,No Edge,low,30.127716765494785,0.29,0.2899,9.999999999998899e-05,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,3,3,0.012970976143793417,-0.00874999999999998,near_fair_value,-0.0120794392523364,-0.0120794392523364,,,insufficient_backtest_events,Current 0.290 is close to estimated fair value 0.290; no qualified regional dislocation.,99,140,9725,Transco-85
West - California,NWP-Sumas,neutral,No Edge,low,31.921043972097554,-0.7403,-0.8181999999999999,0.07789999999999997,Median value implied by 2 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,2,2,0.4563844017393052,-0.8012999999999999,mixed_regime,-0.056865420560747504,-0.056865420560747504,,,insufficient_backtest_events,Current -0.740 is close to estimated fair value -0.818; no qualified regional dislocation.,99,140,9724,NWP-Sumas
West - California,PG&E-Citygate,cheap,Structural Divergence,medium,60.0,0.061,0.22635,-0.16535,Median value implied by 2 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,0,2,2,-0.6744907594765952,0.0,cheap,-0.5497710280373833,-0.9997242990654207,,,insufficient_backtest_events,Current 0.061 is 0.165 below fair 0.226; 0 of 2 independent forward comparisons agree. Completed-summer history also looks cheap.,99,140,9728,PG&E-Citygate
West - California,Socal-Border,neutral,No Edge,low,30.020938576387046,0.1367,0.049250000000000016,0.08744999999999997,Median value implied by 2 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,2,2,0.669854378484749,0.07569999999999999,mixed_regime,0.4593869158878504,-0.09101028037383174,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current 0.137 is close to estimated fair value 0.049; no qualified regional dislocation.,99,140,9726,KRGT-Del Pool|PG&E-Topock|Socal-Border|Socal-Ehrenberg|Socal-Needles
