Component,Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,REGION,PriceRegionLabel,Tree_Depth,Tree_Level_1,Tree_Level_2,Tree_Level_3,Scope,Season,Fin Basis Name,Platts Market,Platt Market w/ ICE in the name,Platts Forward Settle,GasDaily,ICE Market,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis,Final Mark,Group_Outlier_Flag,Plot_Flag_Label,Plot_Flag_Short,Plot_Annotate,Plot_Label_Text,Chosen_Group_Level,Chosen_Group_Reliability,Overall_Combined_Score,Outlier_Reasons,History_Window_Start,History_Window_End,Has_Forward_Final_Mark
Southern Star,Global_G10,10,regular,Global_G10_S01,1,regular,South Central,SouthCentral - Midcon,3,Global_G10,Global_G10_S01,Southern Star,GLOBAL,Autumn,SOUTHERN STAR,Sth Star TxOkKs FDt Com,,Southern Star,,Southern Star,63,-0.3842444444444444,0.1471135065154901,0.061694425231997294,-0.34499999999999975,0.08154300000000023,-0.7799999999999998,-0.1299999999999999,2026-09-03,-0.34739999999999993,-0.35299999999999976,In-family,,,False,,Subgroup,0.919619239095168,0.6747645088844428,history=Lower than own-history expected value; peers=Higher than peer-implied value; subgroup peers=4; peer model trusted; history/peer direction disagree; pattern=very strong weaker than history; historical check type=balmo_transition; historical window=September 4-30; actual point=September 3; current month name=September; mark month name=September; mark history mean=-0.51; mark history delta=+0.16; current transition=-0.01; transition mean=-0.15; transition delta=+0.15; transition magnitude delta=-0.15; transition degree=very strong; transition degree score=2.27; component current-month sd=0.06; component historical month sd=0.71; transition degree scale source=current-month; actual-to-date z=0.06; mark z=0.51; transition z=1.14; pattern years=26,2026-07-03,2026-09-03,True
ENT-STX Map,Global_G11,11,regular,Global_G11_S01,1,regular,South Central,SouthCentral - Mexico,3,Global_G11,Global_G11_S01,ENT-STX Map,GLOBAL,Autumn,,,ICE ENT STX Map FDt Com,,HSC-HPL Pool,ENT-STX Map,63,-0.4259063492063493,0.11048191338333992,0.053107656443533414,-0.4198999999999997,0.09562769999999966,-0.6717999999999997,-0.18310000000000004,2026-09-03,-0.24120000000000008,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Katy-Enstor Pool,Global_G11,11,regular,Global_G11_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G11,Global_G11_S01,Katy-Enstor Pool,GLOBAL,Autumn,,,ICE Katy ENSTOR Pool (excl. Kinder Morgan Texas) FDt Com,Katy,,Katy-Enstor Pool,57,-0.40244912280701745,0.1273647491638637,0.0694608730373934,-0.3881000000000001,0.12883793999999996,-0.6868999999999996,-0.20500000000000007,2026-09-03,-0.23809999999999976,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Katy-Lonestar Inter,Global_G11,11,regular,Global_G11_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G11,Global_G11_S01,Katy-Lonestar Inter,GLOBAL,Autumn,,,ICE Katy Lonestar Interstate FDt Com,,Katy-Enstor Pool,Katy-Lonestar Inter,60,-0.41077166666666665,0.12807034096332867,0.07104841324851319,-0.39280000000000026,0.1361026799999998,-0.6938,-0.2250000000000001,2026-09-03,-0.23649999999999993,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Katy-Oasis,Global_G11,11,regular,Global_G11_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G11,Global_G11_S01,Katy-Oasis,GLOBAL,Autumn,,,ICE Katy Oasis Pipeline FDt Com,,Katy-Enstor Pool,Katy-Oasis,63,-0.39758571428571426,0.1206040146139995,0.07149152703177308,-0.3887999999999998,0.11519802000000015,-0.6647999999999996,-0.19810000000000016,2026-09-03,-0.2269000000000001,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
HSC-HPL Pool,Global_G11,11,regular,Global_G11_S02,2,small_outlier,South Central,SouthCentral - TexCoast,3,Global_G11,Global_G11_S02,HSC-HPL Pool,GLOBAL,Autumn,HSC-HPL POOL,Houston ShipChl FDt Com,,Houston Ship Channel,,HSC-HPL Pool,63,-0.42829206349206356,0.10443596479397083,0.056822090448896294,-0.4249999999999998,0.08154299999999957,-0.6699999999999999,-0.14000000000000012,2026-09-03,-0.2873999999999999,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
ANR-SE-T,Global_G12,12,regular,Global_G12_S01,1,regular,South Central,SouthCentral - Henry,3,Global_G12,Global_G12_S01,ANR-SE-T,GLOBAL,Autumn,ANR-SE,ANR LA FDt Com,ICE ANR SE Transmission Pool FDt Com,"ANR, La",,ANR-SE-T,63,-0.25669206349206364,0.10980754322403866,0.06264021006912383,-0.23999999999999977,0.07413000000000039,-0.5300000000000002,-0.11000000000000032,2026-09-03,-0.15660000000000007,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Pine Prairie,Global_G12,12,regular,Global_G12_S01,1,regular,South Central,SouthCentral - Henry,3,Global_G12,Global_G12_S01,Pine Prairie,GLOBAL,Autumn,PINE PRAIRIE,Pine Prairie Hub FDt Com,,Pine Prairie Hub,,Pine Prairie,63,-0.23104920634920634,0.10098329927879612,0.05781400320126144,-0.2150000000000003,0.08154300000000023,-0.49499999999999966,-0.0950000000000002,2026-09-03,-0.1610999999999998,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TETCO-WLA,Global_G12,12,regular,Global_G12_S01,1,regular,South Central,SouthCentral - Henry,3,Global_G12,Global_G12_S01,TETCO-WLA,GLOBAL,Autumn,TETCO-WLA,TX Eastern W LA FDt Com,,"Texas Eastern, WLA",,TETCO-WLA,63,-0.2674920634920635,0.09269336772319187,0.0506414930110075,-0.2599999999999998,0.09340379999999958,-0.5,-0.16500000000000004,2026-09-03,-0.19700000000000006,-0.18799999999999972,In-family,,,False,,OwnHistoryOnly,,0.7708465822589701,history=Higher than own-history expected value; pattern=moderate weaker than history; historical check type=balmo_transition; historical window=September 4-30; actual point=September 3; current month name=September; mark month name=September; mark history mean=-0.08; mark history delta=-0.11; current transition=+0.01; transition mean=-0.05; transition delta=+0.06; transition magnitude delta=-0.04; transition degree=moderate; transition degree score=1.42; component current-month sd=0.03; component historical month sd=0.12; transition degree scale source=current-month; actual-to-date z=-2.30; mark z=-2.04; transition z=1.24; pattern years=26,2026-07-03,2026-09-03,True
Transco-45,Global_G12,12,regular,Global_G12_S01,1,regular,South Central,SouthCentral - Henry,3,Global_G12,Global_G12_S01,Transco-45,GLOBAL,Autumn,,Transco Zn2 FDt Com,,"Transco, station 45",,Transco-45,63,-0.2666,0.11455237990515717,0.07306683632174546,-0.23999999999999977,0.07412999999999907,-0.5799999999999996,-0.1299999999999999,2026-09-03,-0.16579999999999995,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
