Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,Component,REGION,PriceRegionLabel,Group_Outlier_Flag,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis
Global_G01,1,regular,Global_G01_S03,3,supergroup,Millennium East Pool,Northeast,Northeast - Appalachia,No forward mark,62,-0.8774193548387096,0.23446615669567855,0.10822828029557571,-0.89,0.21497699999999986,-1.325,-0.3700000000000001,2026-09-03,-1.095
Global_G01,1,regular,Global_G01_S03,3,supergroup,TGP-Z4 300L,Northeast,Northeast - Appalachia,No forward mark,62,-0.9424999999999999,0.2575765841867452,0.10741224655681728,-0.925,0.2742809999999999,-1.36,-0.3799999999999999,2026-09-03,-1.1849999999999998
Global_G01,1,regular,Global_G01_S03,3,supergroup,TGP-Z4 Marcellus,Northeast,Northeast - Appalachia,No forward mark,63,-0.949747619047619,0.2618871277780802,0.10977818533844994,-0.925,0.28910700000000006,-1.3991,-0.3799999999999999,2026-09-04,-1.3991
Global_G01,1,regular,Global_G01_S04,4,regular,Transco-165,Northeast,Northeast - Demand,No forward mark,63,-0.792342857142857,0.25595431656039436,0.1158954975675292,-0.7949999999999999,0.2520419999999999,-1.295,-0.2250000000000001,2026-09-04,-1.1476
Global_G01,1,regular,Global_G01_S04,4,regular,Transco-Z5 North,Northeast,Northeast - Demand,No forward mark,63,-0.7172571428571429,0.25444100255030017,0.12384514887146462,-0.6950000000000001,0.25204199999999954,-1.2049999999999998,-0.0950000000000002,2026-09-04,-1.1172
Global_G01,1,regular,Global_G01_S04,4,regular,Transco-Z6 (NY),Northeast,Northeast - Demand,No forward mark,63,-0.7329714285714286,0.26520380442253144,0.13945577840337023,-0.7349999999999999,0.2668679999999999,-1.185,-0.03500000000000014,2026-09-04,-1.1472
Global_G01,1,regular,Global_G01_S05,5,supergroup,Eastern Gas-South,Northeast,Northeast - Appalachia,In-family,63,-0.8962809523809523,0.22697396174177284,0.09679790792598347,-0.8799999999999999,0.2520419999999999,-1.3,-0.3799999999999999,2026-09-04,-1.2657
Global_G01,1,regular,Global_G01_S05,5,supergroup,TETCO-M2 (receipt),Northeast,Northeast - Appalachia,Watch,63,-0.8772492063492062,0.2389102334276552,0.10557459348002102,-0.845,0.2446289999999997,-1.29,-0.31000000000000005,2026-09-04,-1.2467000000000001
Global_G01,1,regular,Global_G01_S06,6,regular,REX-Z3 (receipt) ,Northeast,Northeast - Appalachia,No forward mark,63,-0.843063492063492,0.5672249494892592,0.31743463993701254,-0.7539000000000002,0.3273580800000008,-3.13,-0.2833999999999999,2026-09-04,-1.1339000000000001
Global_G01,1,regular,Global_G01_S06,6,regular,Rover (receipt),Northeast,Northeast - Appalachia,No forward mark,63,-0.8217777777777776,0.2566937992920399,0.10479216388821452,-0.7834999999999996,0.29103437999999987,-1.2596,-0.30909999999999993,2026-09-04,-1.2462
Global_G02,2,regular,Global_G02_S01,1,regular,Lebanon,Northeast,Northeast - Appalachia,No forward mark,63,-0.31998730158730154,0.11522618918830553,0.0641733898602487,-0.29499999999999993,0.1186080000000001,-0.6399999999999997,-0.15500000000000025,2026-09-04,-0.23919999999999986
Global_G02,2,regular,Global_G02_S01,1,regular,REX E-ANR,Midwest,Midwest - Chicago,No forward mark,62,-0.31886129032258065,0.11845883334858473,0.06512216460164984,-0.2973999999999999,0.11097261000000011,-0.645,-0.15169999999999995,2026-09-04,-0.22999999999999998
Global_G02,2,regular,Global_G02_S01,1,regular,REX E-MidW,Midwest,Midwest - Chicago,No forward mark,63,-0.2914571428571428,0.11502377273820781,0.06391339650477287,-0.27,0.0985929,-0.5886,-0.12170000000000014,2026-09-04,-0.22940000000000005
Global_G02,2,regular,Global_G02_S01,1,regular,Trunkline-Z1A,South Central,SouthCentral - Perryville,No forward mark,63,-0.3138714285714286,0.10538095014934089,0.0598197844605213,-0.31499999999999995,0.09636899999999991,-0.6099999999999999,-0.16000000000000014,2026-09-04,-0.2239
Global_G02,2,regular,Global_G02_S02,2,supergroup,NBPL-Ventura,Midwest,Midwest - Chicago,No forward mark,63,-0.2915079365079365,0.12282177922553036,0.07434377107905474,-0.2799999999999998,0.09636899999999991,-0.6149999999999998,-0.08999999999999986,2026-09-04,-0.2250000000000001
Global_G02,2,regular,Global_G02_S02,2,supergroup,NNG-Demarc,Midwest,Midwest - Chicago,No forward mark,63,-0.29683015873015883,0.12578720335309848,0.0732630156215177,-0.29499999999999993,0.09636899999999991,-0.645,-0.09499999999999975,2026-09-04,-0.2553000000000001
Global_G02,2,regular,Global_G02_S02,2,supergroup,NNG-Ventura,Midwest,Midwest - Chicago,Outlier,63,-0.2916698412698413,0.1168562235356194,0.07041738794211388,-0.29000000000000004,0.08895600000000008,-0.585,-0.10000000000000009,2026-09-04,-0.2502
